Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7587013,1,1,32,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8360751,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6f-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"4-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",16487500,4,2,92,7.0928915,125.6056916,https://www.lamudi.com.ph/4-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html,Davao
"For Sale: Studio Condo Unit at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",4009821,1,1,22,7.0928915,125.6056916,https://www.lamudi.com.ph/for-sale-studio-condo-unit-at-camella-manors-northpoint-in-bajada-davao-city.html,Davao
"1-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",9696429,1,1,54,7.0928915,125.6056916,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html,Davao
"1BR Executive Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-sell...","Hippodromo, Cebu",9282900,1,1,56,10.31589,123.9059166,https://www.lamudi.com.ph/1br-executive-condo-unit-for-sale-in-lucima-cebu-business-park-cebu-city-pre-selling.html,Cebu
"2-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",8122321,2,1,45,7.0928915,125.6056916,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html,Davao
"3-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",10239286,3,1,57,7.0928915,125.6056916,https://www.lamudi.com.ph/3-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html,Davao
"2-Bedroom Condo Unit (6H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manil...","Highway Hills, Mandaluyong",16806000,2,2,84,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-6h-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (22E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8034705,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-22e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
