Location,Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Price (PHP)
"Oranbo, Pasig",2,2,106.0,14.575822,121.064324,34871000.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16322000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,25471000.0
"Talamban, Cebu",1,1,39.0,10.36171,123.911374,2926950.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,13096600.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16205000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,25364000.0
"Highway Hills, Mandaluyong",2,2,73.0,14.578255,121.052143,11088000.0
"Highway Hills, Mandaluyong",2,2,73.0,14.578255,121.052143,11088000.0
"Highway Hills, Mandaluyong",1,1,31.0,14.578255,121.052143,8018983.0
"Oranbo, Pasig",2,2,106.0,14.575822,121.064324,34033000.0
"Cupang, Muntinlupa",1,1,30.0,14.434669,121.040194,2515625.0
"San Antonio, Davao",2,2,76.0,7.095857,125.630475,10760000.0
"Wack-Wack Greenhills, Mandaluyong",1,1,116.0,14.592173,121.053333,29623317.0
"Ugong, Pasig",1,1,35.0,14.588882,121.079016,8365000.0
"Cupang, Muntinlupa",3,1,323.0,14.434669,121.040194,39675000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15492000.0
"Oranbo, Pasig",1,1,67.0,14.575822,121.064324,21987000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16274000.0
"Paligsahan, Quezon City",2,1,36.0,14.646511,120.996952,5479920.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"New Manila, Quezon City",1,1,58.0,14.61416t,121.039,12200000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16145000.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,11188800.0
"Cupang, Muntinlupa",3,1,323.0,14.434669,121.040194,39675000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16351000.0
"Paligsahan, Quezon City",2,1,36.0,14.631613,121.023475,4842720.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16042000.0
"Ortigas CBD, Pasig",1,1,57.0,14.583771,121.059675,12196800.0
"Barangka Ilaya, Mandaluyong",1,1,17.0,14.572246,121.05402,4100000.0
"Oranbo, Pasig",1,1,65.0,14.575822,121.064324,21810000.0
"Ugong, Pasig",1,1,56.0,14.588882,121.079016,15635000.0
"Oranbo, Pasig",1,1,65.0,14.575822,121.064324,22768000.0
"San Antonio, Davao",1,2,50.0,7.095857,125.630475,7320000.0
"Highway Hills, Mandaluyong",1,1,57.0,14.578255,121.052143,11932768.0
"Ugong, Pasig",1,1,56.0,14.588882,121.079016,15898000.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7278411.0
"Alabang, Muntinlupa",1,1,67.0,14.4179774,121.037608,11088000.0
"Ugong, Pasig",1,1,56.0,14.588882,121.079016,15229000.0
"San Antonio, Davao",2,2,76.0,7.095857,125.630475,10760000.0
"Highway Hills, Mandaluyong",1,1,57.0,14.578255,121.052143,11932768.0
"Highway Hills, Mandaluyong",1,1,33.0,14.578255,121.052143,7948203.0
"Barangay 19-B, Davao",3,1,57.0,7.0928915,125.6056916,10239286.0
"Cupang, Muntinlupa",2,1,58.0,14.434669,121.040194,5446700.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16602000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16411000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,26748000.0
"Ugong, Pasig",1,1,141.0,14.587964,121.079045,37798000.0
"Ortigas CBD, Pasig",1,1,47.0,14.583771,121.059675,11020800.0
"Ugong, Pasig",1,1,32.0,14.588882,121.079016,9206000.0
"New Manila, Quezon City",2,1,39.0,14.621176,121.022808,7136000.0
"Highway Hills, Mandaluyong",1,1,57.0,14.578255,121.052143,12046848.0
"Cupang, Muntinlupa",2,1,54.0,14.434669,121.040194,5071500.0
"Hippodromo, Cebu",1,1,53.0,10.315,123.90592845448,8929270.0
"Loyola Heights, Quezon City",1,1,17.0,14.640624,121.076504,1916509.0
"New Manila, Quezon City",1,1,36.0,14.61416t,121.039,7200000.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,11166400.0
"San Antonio, Pasig",1,1,70.0,14.588377,121.059897,27462000.0
"North Reclamation Area, Cebu",2,1,75.0,10.3084189,123.9157609,13007400.0
"Hippodromo, Cebu",3,3,128.0,10.315,123.90593065695,22176571.0
"San Antonio, Pasig",1,1,70.0,14.588377,121.059897,27332000.0
"Pinagbuhatan, Pasig",2,1,37.0,14.555535,121.090095,5008864.0
"Oranbo, Pasig",1,1,45.0,14.575822,121.064324,12377000.0
"Oranbo, Pasig",1,1,45.0,14.575822,121.064324,12415000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15762000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,25579000.0
"Paligsahan, Quezon City",1,1,24.0,14.646511,120.996952,3167280.0
"San Antonio, Pasig",1,1,74.0,14.588377,121.059897,27006000.0
"Highway Hills, Mandaluyong",1,2,46.0,14.578255,121.052143,4400659.0
"Oranbo, Pasig",1,1,76.0,14.575822,121.064324,26888000.0
"Ortigas CBD, Pasig",1,1,58.0,14.587518,121.062753,11400000.0
"Highway Hills, Mandaluyong",1,1,57.0,14.578255,121.052143,12069664.0
"Oranbo, Pasig",1,1,65.0,14.575822,121.064324,21946000.0
"Ortigas CBD, Pasig",3,2,98.0,14.583771,121.059675,22111600.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,18160000.0
"New Manila, Quezon City",2,1,39.0,14.621176,121.022808,6785600.0
"Barangka Ilaya, Mandaluyong",1,1,58.0,14.571338,121.04641,5200000.0
"Cupang, Muntinlupa",2,1,58.0,14.434669,121.040194,4668600.0
"San Antonio, Pasig",1,1,93.0,14.588716,121.060009,31357000.0
"Alabang, Muntinlupa",1,1,49.0,14.4179774,121.037608,11088000.0
"San Antonio, Pasig",1,1,82.0,14.588716,121.060009,27448000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,24349000.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7288260.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7432712.0
"Novaliches, Quezon City",3,2,54.0,14.68155,121.0198,7802700.0
"Pinagbuhatan, Pasig",2,1,37.0,14.555535,121.090095,5008864.0
"Highway Hills, Mandaluyong",1,1,54.0,14.578255,121.052143,11526579.0
"Pag-Ibig Sa Nayon, Quezon City",3,2,112.0,14.646511,120.996952,14600000.0
"Ortigas CBD, Pasig",1,1,57.0,14.583771,121.059675,12196800.0
"New Manila, Quezon City",2,1,39.0,14.621176,121.022808,6785600.0
"Highway Hills, Mandaluyong",1,1,33.0,14.578255,121.052143,8034705.0
"Paligsahan, Quezon City",1,1,24.0,14.631613,121.023475,2963760.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7432712.0
"Wack-Wack Greenhills, Mandaluyong",1,1,27.0,14.592173,121.053333,6423156.0
"Ugong, Pasig",1,1,53.0,14.588882,121.079016,15492000.0
"Ortigas CBD, Pasig",2,2,74.0,14.583771,121.059675,17641900.0
"San Antonio, Pasig",1,1,69.0,14.588377,121.059897,28624000.0
"Alabang, Muntinlupa",1,1,92.0,14.4179774,121.037608,11088000.0
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,16940448.0
"Oranbo, Pasig",1,1,40.0,14.575822,121.064324,12229000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16252000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,27178000.0
"Alabang, Muntinlupa",3,2,72.0,14.4179774,121.037608,11088000.0
"Bagumbayan, Quezon City",2,2,67.0,14.605396,121.081903,14612268.0
"Highway Hills, Mandaluyong",1,1,31.0,14.578255,121.052143,7776467.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,18126000.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7216034.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15601000.0
"Highway Hills, Mandaluyong",1,1,33.0,14.578255,121.052143,8028051.0
"Sambag II, Cebu",1,1,24.0,10.3058395,123.8908567,2810000.0
"Oranbo, Pasig",1,1,45.0,14.575822,121.064324,12615000.0
"San Antonio, Pasig",1,1,69.0,14.588377,121.059897,27961000.0
"Highway Hills, Mandaluyong",2,2,69.0,14.578255,121.052143,11088000.0
"North Reclamation Area, Cebu",1,1,40.0,10.3084189,123.9157609,6400000.0
"Manggahan, Pasig",2,1,54.0,14.601887,121.093698,5500000.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"Sasa, Davao",1,1,32.0,7.128006,125.648968,3010000.0
"Cupang, Muntinlupa",3,1,250.0,14.434669,121.040194,27705000.0
"Highway Hills, Mandaluyong",1,2,50.0,14.578255,121.052143,5254367.0
"New Manila, Quezon City",3,2,53.0,14.621176,121.022808,8229500.0
"Ortigas CBD, Pasig",2,1,126.0,14.5808822,121.05885,31083715.0
"Ma-A, Davao",2,2,77.0,7.0867489,125.5840299,8645982.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16205000.0
"Zapatera, Cebu",1,1,30.0,10.305725,123.904993,3980978.0
"Novaliches, Quezon City",3,2,54.0,14.68155,121.0198,7802700.0
"Paligsahan, Quezon City",3,2,46.0,14.646511,120.996952,6709716.0
"Ugong, Pasig",1,1,100.0,14.587964,121.079045,26699000.0
"Highway Hills, Mandaluyong",1,1,33.0,14.578255,121.052143,8107899.0
"Cupang, Muntinlupa",1,1,40.0,14.434669,121.040194,3756900.0
"Ugong, Pasig",1,1,35.0,14.588882,121.079016,8957000.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"Highway Hills, Mandaluyong",1,1,32.0,14.578255,121.052143,7587013.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16411000.0
"San Antonio, Pasig",4,4,268.0,14.588377,121.059897,111512000.0
